Character,Font Size,Strokes
ア,1000,s:0,-337,-244,0,0,0,0,s:0,366,-238,0,0,0,0,s:0,155,20,162,-123,-162,123,s:1,-25,-59,0,-1,0,1,s:1,-243,426,266,-129,-266,129
イ,1000,s:0,300,-289,0,0,0,0,s:0,-357,98,472,-168,-472,168,s:1,50,-45,0,0,0,0,s:1,49,431,0,0,0,0
ウ,1000,s:0,-2,-342,0,0,0,0,s:0,-3,-162,0,0,0,0,s:1,-322,-154,0,0,0,0,s:1,-322,92,0,0,0,0,s:2,-329,-151,0,0,0,0,s:2,329,-151,0,0,0,0,s:2,-120,434,422,-112,-422,112
エ,1000
オ,1000
カ,1000
キ,1000
ク,1000
ケ,1000
コ,1000
サ,1000
シ,1000
ス,1000
セ,1000
ソ,1000
タ,1000
チ,1000
ツ,1000
テ,1000
ト,1000
ナ,1000
ニ,1000
ヌ,1000
ネ,1000
ノ,1000
ハ,1000
ヒ,1000
フ,1000
ヘ,1000
ホ,1000
マ,1000
ミ,1000
ム,1000
メ,1000
モ,1000
ヤ,1000
ユ,1000
ヨ,1000
ラ,1000
リ,1000
ル,1000
レ,1000
ロ,1000
ワ,1000
ヲ,1000
ン,1000
